feature,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,response_body_len,sttl,dttl,swin,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
djit,0.833461,0.549285,0.608235,0.435603,0.617195,-0.738919,-0.750492,0.156680,0.535588,0.588875,0.798034,0.863888,0.872934,1.000000,0.346039,0.022110,0.715002,0.753129,0.764165,0.749498,0.743718,0.752973,-0.089984,0.442827,0.370506,-0.321542,-0.203598,-0.317384,-0.315044,-0.322792,-0.318125,0.083500,0.370102,-0.304886,-0.361823,-0.090472
dload,0.062352,0.537362,0.685993,0.411170,0.742160,0.090563,0.009558,1.000000,0.483726,0.632015,-0.073375,0.028424,-0.024988,0.156680,0.166823,-0.815897,0.123449,0.373662,0.388307,0.000891,0.003872,0.008244,-0.092960,0.877571,0.075439,-0.029159,-0.874703,0.171528,-0.302059,-0.405874,-0.235645,0.009587,0.075164,0.121052,0.010481,-0.100129
dloss,0.524677,0.893311,0.962821,0.748685,0.946375,-0.255720,-0.297656,0.632015,0.879099,1.000000,0.359637,0.399448,0.447667,0.588875,0.219310,-0.447282,0.371052,0.795137,0.805612,0.456391,0.455996,0.458789,-0.102562,0.780626,0.136383,-0.150604,-0.505313,-0.063554,-0.318665,-0.357219,-0.283888,0.157032,0.136137,-0.072149,-0.154042,-0.088300
dmean,0.319129,0.615027,0.782957,0.471194,0.877418,-0.147106,-0.238308,0.877571,0.555828,0.780626,0.195406,0.243728,0.248354,0.442827,0.377700,-0.714871,0.258036,0.520214,0.534123,0.202305,0.201932,0.207315,-0.136356,1.000000,0.223040,-0.122523,-0.745016,0.049563,-0.321197,-0.396016,-0.300132,-0.011544,0.223073,0.014174,-0.098039,-0.100258
dpkts,0.560488,0.921266,1.000000,0.770054,0.968488,-0.277231,-0.303809,0.685993,0.896156,0.962821,0.363235,0.447049,0.453369,0.608235,0.186086,-0.494708,0.398945,0.776283,0.788860,0.447825,0.447363,0.449416,-0.061425,0.782957,0.124564,-0.160169,-0.607614,-0.056093,-0.353185,-0.395283,-0.316609,0.146140,0.124381,-0.070259,-0.165605,-0.100432
dttl,0.733581,0.386165,0.398945,0.303653,0.369674,-0.767463,-0.738885,0.123449,0.427561,0.371052,0.736243,0.862163,0.779445,0.715002,0.170043,0.219247,1.000000,0.721312,0.735421,0.895963,0.895102,0.896395,-0.006149,0.258036,0.305254,-0.407158,-0.060904,-0.482236,-0.323747,-0.383291,-0.362781,0.046145,0.305794,-0.435895,-0.461375,-0.107492
dur,1.000000,0.601428,0.560488,0.507094,0.520634,-0.867696,-0.827277,0.062352,0.569286,0.524677,0.886834,0.837720,0.899595,0.833461,0.228122,0.069690,0.733581,0.699136,0.696954,0.760097,0.754341,0.758088,0.003518,0.319129,0.263349,-0.391091,-0.124825,-0.360618,-0.319545,-0.330900,-0.340474,0.132483,0.263445,-0.342497,-0.432669,-0.087087
dwin,0.696954,0.770228,0.788860,0.662478,0.755641,-0.585700,-0.572520,0.388307,0.802578,0.805612,0.649214,0.749947,0.746074,0.764165,0.217026,-0.113682,0.735421,0.986858,1.000000,0.801928,0.801949,0.801915,-0.034573,0.534123,0.284026,-0.249166,-0.345814,-0.254594,-0.328689,-0.413956,-0.298319,0.085900,0.283899,-0.239928,-0.283896,-0.109602
is_sm_ips_ports,-0.087087,-0.119809,-0.100432,-0.122302,-0.100233,-0.122001,-0.121979,-0.100129,-0.089403,-0.088300,0.119511,-0.100127,-0.070884,-0.090472,-0.023785,-0.133408,-0.107492,-0.110472,-0.109602,-0.087906,-0.087906,-0.087905,-0.117022,-0.100258,-0.031128,-0.052736,0.103592,-0.025643,0.039610,0.102158,-0.029115,-0.009414,-0.031114,-0.044975,-0.041280,1.000000
rate,-0.867696,-0.302380,-0.277231,-0.230625,-0.264485,1.000000,0.943478,0.090563,-0.300652,-0.255720,-0.957219,-0.859451,-0.892087,-0.738919,-0.198850,-0.161062,-0.767463,-0.587594,-0.585700,-0.760652,-0.755263,-0.753941,0.038007,-0.147106,-0.266851,0.382609,0.025160,0.394986,0.264814,0.293797,0.302822,-0.070816,-0.267039,0.367465,0.426676,-0.122001
response_body_len,0.228122,0.063191,0.186086,0.076244,0.309202,-0.198850,-0.231945,0.166823,0.019714,0.219310,0.259279,0.186066,0.293346,0.346039,1.000000,-0.164533,0.170043,0.214212,0.217026,0.154952,0.152737,0.169134,0.082608,0.377700,0.763207,-0.257488,-0.070579,-0.102063,-0.078626,-0.078810,-0.187667,-0.044043,0.764535,-0.106145,-0.244056,-0.023785
sbytes,0.507094,0.884471,0.770054,1.000000,0.703509,-0.230625,-0.100433,0.411170,0.851810,0.748685,0.301994,0.357888,0.365988,0.435603,0.076244,-0.262338,0.303653,0.649148,0.662478,0.393210,0.392246,0.392819,0.437459,0.471194,0.111715,-0.130788,-0.372736,-0.084939,-0.286180,-0.357022,-0.238147,0.072074,0.111382,-0.093528,-0.144531,-0.122302
sinpkt,0.886834,0.378204,0.363235,0.301994,0.361345,-0.957219,-0.917066,-0.073375,0.362773,0.359637,1.000000,0.851544,0.933237,0.798034,0.259279,0.157327,0.736243,0.651745,0.649214,0.775344,0.769944,0.770354,-0.048348,0.195406,0.302430,-0.361689,-0.003470,-0.376902,-0.268225,-0.277096,-0.289565,0.078593,0.302613,-0.350069,-0.406983,0.119511
sjit,0.899595,0.444679,0.453369,0.365988,0.442591,-0.892087,-0.855849,-0.024988,0.460301,0.447667,0.933237,0.901180,1.000000,0.872934,0.293346,0.165072,0.779445,0.744244,0.746074,0.829676,0.824340,0.826177,-0.025132,0.248354,0.337713,-0.353185,-0.047265,-0.365114,-0.265002,-0.302587,-0.278609,0.087611,0.337626,-0.339722,-0.401290,-0.070884
sload,-0.827277,-0.271985,-0.303809,-0.100433,-0.311062,0.943478,1.000000,0.009558,-0.247953,-0.297656,-0.917066,-0.797758,-0.855849,-0.750492,-0.231945,-0.103053,-0.738885,-0.575742,-0.572520,-0.708610,-0.705170,-0.705671,0.288909,-0.238308,-0.266366,0.372762,0.064417,0.367844,0.260862,0.280826,0.300564,-0.104887,-0.266599,0.347737,0.409243,-0.121979
sloss,0.569286,0.942665,0.896156,0.851810,0.809888,-0.300652,-0.247953,0.483726,1.000000,0.879099,0.362773,0.470369,0.460301,0.535588,0.019714,-0.300316,0.427561,0.806361,0.802578,0.517101,0.517249,0.514917,0.097743,0.555828,0.040263,-0.131254,-0.435247,-0.100048,-0.305898,-0.341565,-0.251759,0.164992,0.040021,-0.108738,-0.148436,-0.089403
smean,0.003518,0.054531,-0.061425,0.437459,-0.084632,0.038007,0.288909,-0.092960,0.097743,-0.102562,-0.048348,0.009518,-0.025132,-0.089984,0.082608,0.043208,-0.006149,-0.054940,-0.034573,-0.013448,-0.016046,-0.009664,1.000000,-0.136356,0.156560,-0.076722,0.032092,-0.027873,-0.000984,-0.057155,-0.017549,-0.159742,0.155928,-0.030156,-0.070803,-0.117022
spkts,0.601428,1.000000,0.921266,0.884471,0.852264,-0.302380,-0.271985,0.537362,0.942665,0.893311,0.378204,0.440950,0.444679,0.549285,0.063191,-0.336257,0.386165,0.762125,0.770228,0.467498,0.468113,0.464827,0.054531,0.615027,0.065098,-0.131579,-0.478672,-0.091817,-0.329005,-0.356249,-0.277701,0.141001,0.064971,-0.100485,-0.146763,-0.119809
sttl,0.069690,-0.336257,-0.494708,-0.262338,-0.556635,-0.161062,-0.103053,-0.815897,-0.300316,-0.447282,0.157327,0.173274,0.165072,0.022110,-0.164533,1.000000,0.219247,-0.102562,-0.113682,0.275986,0.276904,0.271868,0.043208,-0.714871,0.008319,-0.033953,0.825617,-0.346346,0.179308,0.257047,0.116774,-0.064159,0.008413,-0.262868,-0.102161,-0.133408
swin,0.699136,0.762125,0.776283,0.649148,0.742920,-0.587594,-0.575742,0.373662,0.806361,0.795137,0.651745,0.737207,0.744244,0.753129,0.214212,-0.102562,0.721312,1.000000,0.986858,0.791412,0.791404,0.791439,-0.054940,0.520214,0.280343,-0.234949,-0.325806,-0.244203,-0.331387,-0.410838,-0.282833,0.084786,0.280218,-0.231914,-0.269709,-0.110472
synack,0.754341,0.468113,0.447363,0.392246,0.400837,-0.755263,-0.705170,0.003872,0.517249,0.455996,0.769944,0.855320,0.824340,0.743718,0.152737,0.276904,0.895102,0.791404,0.801949,0.989996,1.000000,0.950898,-0.016046,0.201932,0.265792,-0.309904,0.034748,-0.450000,-0.275644,-0.311895,-0.287191,0.045290,0.266385,-0.396036,-0.373647,-0.087906
tcprtt,0.760097,0.467498,0.447825,0.393210,0.401821,-0.760652,-0.708610,0.000891,0.517101,0.456391,0.775344,0.860337,0.829676,0.749498,0.154952,0.275986,0.895963,0.791412,0.801928,1.000000,0.989996,0.979783,-0.013448,0.202305,0.269108,-0.317435,0.036153,-0.453502,-0.280852,-0.312457,-0.294446,0.046251,0.269661,-0.398955,-0.382255,-0.087906
trans_depth,0.263349,0.065098,0.124564,0.111715,0.201369,-0.266851,-0.266366,0.075439,0.040263,0.136383,0.302430,0.290695,0.337713,0.370506,0.763207,0.008319,0.305254,0.280343,0.284026,0.269108,0.265792,0.286987,0.156560,0.223040,1.000000,-0.349612,-0.011754,-0.196588,-0.119760,-0.109047,-0.267796,-0.057640,0.999387,-0.187070,-0.346832,-0.031128
