feature,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,response_body_len,sttl,dttl,swin,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
ct_state_ttl,0.107098,-0.416153,-0.613572,-0.301724,-0.702919,0.195255,0.236074,-0.824657,-0.354958,-0.453184,0.091044,-0.094858,-0.114140,-0.274932,-0.094465,0.646613,0.092865,-0.320652,-0.387502,0.179877,0.166677,0.170757,0.076609,-0.368520,-0.018866,0.206833,1.000000,0.072739,0.221597,0.260439,0.339297,-0.047265,-0.029973,0.089086,0.200996,0.091506
dbytes,0.248015,0.794813,0.952768,0.588326,1.000000,-0.505486,-0.527913,0.886360,0.702191,0.844723,0.265356,0.363840,0.531086,0.659834,0.288599,-0.611967,0.280579,0.752535,0.769150,0.136084,0.119363,0.136448,-0.055535,0.716852,0.082746,-0.293488,-0.702919,-0.185592,-0.328623,-0.347335,-0.413409,0.064125,0.151718,-0.187223,-0.300632,-0.123666
dinpkt,0.549636,0.312667,0.343418,0.322567,0.363840,-0.825160,-0.735387,0.094245,0.385759,0.139102,0.825887,1.000000,0.895855,0.823870,0.202017,0.230654,0.824779,0.663730,0.673487,0.634905,0.584112,0.607245,0.106197,-0.031991,0.131405,-0.328180,-0.094858,-0.265187,-0.229003,-0.214446,-0.268776,0.080258,0.253595,-0.231035,-0.351943,-0.079778
djit,0.526082,0.541416,0.636098,0.422627,0.659834,-0.736245,-0.703542,0.342453,0.523379,0.523254,0.705197,0.823870,0.853320,1.000000,0.391660,-0.079384,0.616470,0.747545,0.758189,0.440281,0.399700,0.426880,-0.017811,0.436577,0.151292,-0.308872,-0.274932,-0.235822,-0.255387,-0.240435,-0.307800,0.093825,0.282225,-0.219648,-0.326450,-0.087787
dload,-0.043138,0.572132,0.772159,0.394610,0.886360,-0.317387,-0.369009,1.000000,0.493527,0.625380,-0.006138,0.094245,0.239270,0.342453,0.156770,-0.724676,0.089257,0.535779,0.553750,-0.037376,-0.039890,-0.029812,-0.119755,0.556882,0.040321,-0.258557,-0.824657,-0.137008,-0.321946,-0.352404,-0.404160,0.021135,0.072897,-0.146736,-0.257975,-0.124961
dloss,0.269777,0.852962,0.923623,0.611335,0.844723,-0.237608,-0.272736,0.625380,0.721482,1.000000,0.120675,0.139102,0.363618,0.523254,0.219549,-0.509055,0.069795,0.631396,0.639724,-0.006416,-0.013150,0.001681,-0.049199,0.797992,0.025644,-0.134816,-0.453184,-0.091654,-0.188578,-0.200132,-0.245420,0.129461,0.050070,-0.098759,-0.138683,-0.070117
dmean,0.138887,0.543274,0.684076,0.293682,0.716852,-0.091659,-0.180237,0.556882,0.327233,0.797992,0.015433,-0.031991,0.162295,0.436577,0.396277,-0.494627,-0.068657,0.347587,0.353408,-0.113338,-0.113063,-0.098919,-0.189499,1.000000,0.070866,-0.076412,-0.368520,-0.050185,-0.135792,-0.132013,-0.175920,-0.053690,0.126874,-0.057293,-0.077152,-0.046035
dpkts,0.327098,0.911786,1.000000,0.708339,0.952768,-0.441994,-0.445381,0.772159,0.820943,0.923623,0.245087,0.343418,0.521135,0.636098,0.204293,-0.522888,0.245861,0.759437,0.773231,0.115623,0.101236,0.116126,0.037474,0.684076,0.055068,-0.241585,-0.613572,-0.159493,-0.283576,-0.301214,-0.358094,0.115847,0.094619,-0.164033,-0.249470,-0.107009
dttl,0.388227,0.225285,0.245861,0.244075,0.280579,-0.737829,-0.654375,0.089257,0.316122,0.069795,0.699466,0.824779,0.776165,0.616470,0.117793,0.329114,1.000000,0.610044,0.619310,0.771202,0.704059,0.743479,0.108815,-0.068657,0.118488,-0.335539,0.092865,-0.316548,-0.229603,-0.203059,-0.254171,0.032313,0.224921,-0.256508,-0.363272,-0.074736
dur,1.000000,0.437227,0.327098,0.396302,0.248015,-0.614584,-0.562491,-0.043138,0.368527,0.269777,0.689453,0.549636,0.607038,0.526082,0.152587,0.065440,0.388227,0.321426,0.309885,0.380124,0.354069,0.358868,0.149060,0.138887,0.054362,-0.198949,0.107098,-0.137746,-0.137391,-0.120971,-0.152910,0.104864,0.105866,-0.129501,-0.209391,0.016925
dwin,0.309885,0.726268,0.773231,0.610835,0.769150,-0.678240,-0.625104,0.553750,0.748097,0.639724,0.541128,0.673487,0.819956,0.758189,0.206913,-0.170823,0.619310,0.986841,1.000000,0.451319,0.414089,0.432870,0.047141,0.353408,0.111044,-0.298836,-0.387502,-0.230507,-0.279116,-0.305698,-0.343686,0.084789,0.204559,-0.207500,-0.321201,-0.109601
is_sm_ips_ports,0.016925,-0.109666,-0.107009,-0.134872,-0.123666,-0.125483,-0.219730,-0.124961,-0.083287,-0.070117,0.271478,-0.079778,-0.074395,-0.087787,-0.022677,-0.094026,-0.074736,-0.110475,-0.109601,-0.049476,-0.045390,-0.047458,-0.036031,-0.046035,-0.012170,-0.036837,0.091506,-0.026635,-0.008726,0.005065,-0.025158,-0.009293,-0.022419,-0.033329,-0.032252,1.000000
rate,-0.614584,-0.400990,-0.441994,-0.350784,-0.505486,1.000000,0.959387,-0.317387,-0.407752,-0.237608,-0.899805,-0.825160,-0.889568,-0.736245,-0.210154,0.048738,-0.737829,-0.678278,-0.678240,-0.587747,-0.543002,-0.559689,-0.018468,-0.091659,-0.116646,0.389825,0.195255,0.288071,0.324420,0.326473,0.364184,-0.076068,-0.221601,0.266451,0.408085,-0.125483
response_body_len,0.152587,0.089091,0.204293,0.055822,0.288599,-0.210154,-0.222880,0.156770,0.005253,0.219549,0.230572,0.202017,0.265146,0.391660,1.000000,-0.249483,0.117793,0.204223,0.206913,0.046180,0.032561,0.054872,-0.089779,0.396277,0.271466,-0.166738,-0.094465,-0.066347,-0.074015,-0.061840,-0.112899,-0.041449,0.528804,-0.058810,-0.157682,-0.022677
sbytes,0.396302,0.864336,0.708339,1.000000,0.588326,-0.350784,-0.173782,0.394610,0.872979,0.611335,0.212061,0.322567,0.452982,0.422627,0.055822,-0.223273,0.244075,0.598964,0.610835,0.161807,0.146420,0.157392,0.656192,0.293682,0.051007,-0.189522,-0.301724,-0.146195,-0.227141,-0.262192,-0.241513,0.039909,0.060513,-0.151475,-0.200300,-0.134872
sinpkt,0.689453,0.244423,0.245087,0.212061,0.265356,-0.899805,-0.866172,-0.006138,0.257996,0.120675,1.000000,0.825887,0.863615,0.705197,0.230572,0.151812,0.699466,0.547815,0.541128,0.603487,0.559146,0.572950,-0.008639,0.015433,0.113185,-0.302687,0.091044,-0.242001,-0.217037,-0.203210,-0.235506,0.071381,0.227080,-0.217984,-0.321029,0.271478
sjit,0.607038,0.502671,0.521135,0.452982,0.531086,-0.889568,-0.812405,0.239270,0.528323,0.363618,0.863615,0.895855,1.000000,0.853320,0.265146,0.067976,0.776165,0.818557,0.819956,0.625118,0.576808,0.596053,0.059739,0.162295,0.135189,-0.330882,-0.114140,-0.256002,-0.259506,-0.267785,-0.295137,0.091305,0.257849,-0.229661,-0.353057,-0.074395
sload,-0.562491,-0.343133,-0.445381,-0.173782,-0.527913,0.959387,1.000000,-0.369009,-0.309443,-0.272736,-0.866172,-0.735387,-0.812405,-0.703542,-0.222880,0.131316,-0.654375,-0.627352,-0.625104,-0.511225,-0.471983,-0.487168,0.214755,-0.180237,-0.102181,0.369693,0.236074,0.264522,0.307869,0.297579,0.362320,-0.091713,-0.203477,0.245087,0.385047,-0.219730
sloss,0.368527,0.910772,0.820943,0.872979,0.702191,-0.407752,-0.309443,0.493527,1.000000,0.721482,0.257996,0.385759,0.528323,0.523379,0.005253,-0.290305,0.316122,0.751535,0.748097,0.208110,0.189010,0.201687,0.400434,0.327233,0.033885,-0.196486,-0.354958,-0.141845,-0.225034,-0.233667,-0.264220,0.129569,0.030987,-0.150985,-0.209099,-0.083287
smean,0.149060,0.247134,0.037474,0.656192,-0.055535,-0.018468,0.214755,-0.119755,0.400434,-0.049199,-0.008639,0.106197,0.059739,-0.017811,-0.089779,0.102104,0.108815,0.041302,0.047141,0.097148,0.088566,0.093790,1.000000,-0.189499,0.020736,-0.051281,0.076609,-0.045612,-0.041866,-0.083126,0.002777,-0.055512,-0.008104,-0.056112,-0.054464,-0.036031
spkts,0.437227,1.000000,0.911786,0.864336,0.794813,-0.400990,-0.343133,0.572132,0.910772,0.852962,0.244423,0.312667,0.502671,0.541416,0.089091,-0.351553,0.225285,0.719074,0.726268,0.125063,0.112323,0.122565,0.247134,0.543274,0.037587,-0.189823,-0.416153,-0.142204,-0.240713,-0.244554,-0.288604,0.112342,0.048107,-0.147521,-0.202913,-0.109666
sttl,0.065440,-0.351553,-0.522888,-0.223273,-0.611967,0.048738,0.131316,-0.724676,-0.290305,-0.509055,0.151812,0.230654,0.067976,-0.079384,-0.249483,1.000000,0.329114,-0.159390,-0.170823,0.302724,0.284256,0.283334,0.102104,-0.494627,-0.017424,0.132318,0.646613,-0.017857,0.165764,0.203090,0.248084,-0.081608,-0.055347,0.015686,0.109860,-0.094026
swin,0.321426,0.719074,0.759437,0.598964,0.752535,-0.678278,-0.627352,0.535779,0.751535,0.631396,0.547815,0.663730,0.818557,0.747545,0.204223,-0.159390,0.610044,1.000000,0.986841,0.445343,0.408510,0.427243,0.041302,0.347587,0.109600,-0.279681,-0.320652,-0.218838,-0.283253,-0.308453,-0.323331,0.083687,0.201900,-0.200314,-0.301873,-0.110475
synack,0.354069,0.112323,0.101236,0.146420,0.119363,-0.543002,-0.471983,-0.039890,0.189010,-0.013150,0.559146,0.584112,0.576808,0.399700,0.032561,0.284256,0.704059,0.408510,0.414089,0.942227,1.000000,0.757580,0.088566,-0.113063,0.055619,-0.195544,0.166677,-0.215203,-0.135299,-0.121491,-0.142524,0.007596,0.114671,-0.180822,-0.221801,-0.045390
tcprtt,0.380124,0.125063,0.115623,0.161807,0.136084,-0.587747,-0.511225,-0.037376,0.208110,-0.006416,0.603487,0.634905,0.625118,0.440281,0.046180,0.302724,0.771202,0.445343,0.451319,1.000000,0.942227,0.932464,0.097148,-0.113338,0.067204,-0.224940,0.179877,-0.239815,-0.152059,-0.132960,-0.164926,0.012007,0.135272,-0.201372,-0.252881,-0.049476
trans_depth,0.054362,0.037587,0.055068,0.051007,0.082746,-0.116646,-0.102181,0.040321,0.033885,0.025644,0.113185,0.131405,0.135189,0.151292,0.271466,-0.017424,0.118488,0.109600,0.111044,0.067204,0.055619,0.070972,0.020736,0.070866,1.000000,-0.086213,-0.018866,-0.043381,-0.039302,-0.033398,-0.058971,-0.022244,0.279958,-0.033910,-0.086688,-0.012170
