variant,cluster,feature,cluster_mean,global_mean,ratio,std_deviations
with_ttl,2,swin,5.596075,180.556553,0.030993,-1.509170
with_ttl,2,synack,0.000000,0.032020,0.000000,-0.636572
with_ttl,2,tcprtt,0.000000,0.063064,0.000000,-0.693874
with_ttl,2,trans_depth,0.000000,0.166642,0.000000,-0.170682
with_ttl,3,ackdat,0.072259,0.031043,2.327672,0.883670
with_ttl,3,ct_dst_ltm,1.727005,3.096686,0.557695,-0.339758
with_ttl,3,ct_dst_sport_ltm,1.035155,1.441934,0.717893,-0.194074
with_ttl,3,ct_dst_src_ltm,2.800135,4.025292,0.695635,-0.199015
with_ttl,3,ct_flw_http_mthd,0.161063,0.181984,0.885037,-0.036147
with_ttl,3,ct_ftp_cmd,0.000031,0.017310,0.001771,-0.130095
with_ttl,3,ct_src_dport_ltm,1.295890,1.984017,0.653165,-0.205539
with_ttl,3,ct_src_ltm,2.556288,3.905532,0.654530,-0.270535
with_ttl,3,ct_srv_dst,2.838784,4.784982,0.593269,-0.314023
with_ttl,3,ct_srv_src,3.407147,5.094348,0.668809,-0.268930
with_ttl,3,ct_state_ttl,1.051798,0.875747,1.201029,0.198372
with_ttl,3,dbytes,997.020198,23732.477242,0.042011,-0.127284
with_ttl,3,dinpkt,208.069742,106.294249,1.957488,0.093434
with_ttl,3,djit,689.979793,822.818710,0.838556,-0.027636
with_ttl,3,dload,7527.149482,1089235.616224,0.006910,-0.358922
with_ttl,3,dloss,2.047415,11.006367,0.186021,-0.136920
with_ttl,3,dmean,75.952493,196.520809,0.386486,-0.396094
with_ttl,3,dpkts,8.823612,30.059087,0.293542,-0.155520
with_ttl,3,dttl,249.927453,121.600046,2.055324,1.106125
with_ttl,3,dur,1.291887,1.355982,0.952732,-0.011608
with_ttl,3,dwin,254.974377,179.166781,1.423112,0.650370
with_ttl,3,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,3,rate,27.973788,38690.934353,0.000723,-0.331497
with_ttl,3,response_body_len,0.733871,3442.631622,0.000213,-0.049918
with_ttl,3,sbytes,1312.799583,13825.409319,0.094956,-0.056203
with_ttl,3,sinpkt,154.487587,433.203393,0.356617,-0.063008
with_ttl,3,sjit,12475.296841,5440.630147,2.292987,0.173028
with_ttl,3,sload,14930.822810,49681174.104178,0.000301,-0.234934
with_ttl,3,sloss,2.722622,7.900743,0.344603,-0.061618
with_ttl,3,smean,108.681338,171.053843,0.635363,-0.252015
with_ttl,3,spkts,11.435192,30.190459,0.378768,-0.108151
with_ttl,3,sttl,225.822815,143.052246,1.578604,0.767989
with_ttl,3,swin,254.967113,180.556553,1.412118,0.641849
with_ttl,3,synack,0.075687,0.032020,2.363714,0.868102
with_ttl,3,tcprtt,0.147946,0.063064,2.345972,0.933935
with_ttl,3,trans_depth,0.161461,0.166642,0.968912,-0.005306
with_ttl,4,ackdat,0.044764,0.031043,1.441998,0.294184
with_ttl,4,ct_dst_ltm,2.122276,3.096686,0.685338,-0.241709
with_ttl,4,ct_dst_sport_ltm,1.044535,1.441934,0.724398,-0.189599
with_ttl,4,ct_dst_src_ltm,1.819440,4.025292,0.452002,-0.358319
with_ttl,4,ct_flw_http_mthd,1.090886,0.181984,5.994390,1.570343
with_ttl,4,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,4,ct_src_dport_ltm,1.206071,1.984017,0.607893,-0.232367
with_ttl,4,ct_src_ltm,2.867693,3.905532,0.734264,-0.208096
with_ttl,4,ct_srv_dst,1.732791,4.784982,0.362131,-0.492476
with_ttl,4,ct_srv_src,1.861207,5.094348,0.365348,-0.515344
with_ttl,4,ct_state_ttl,0.702006,0.875747,0.801608,-0.195770
with_ttl,4,dbytes,96115.436527,23732.477242,4.049954,0.405234
with_ttl,4,dinpkt,99.604178,106.294249,0.937061,-0.006142
with_ttl,4,djit,4296.455258,822.818710,5.221630,0.722669
with_ttl,4,dload,261979.494111,1089235.616224,0.240517,-0.274492
with_ttl,4,dloss,36.173988,11.006367,3.286642,0.384637
with_ttl,4,dmean,564.784763,196.520809,2.873918,1.209829
with_ttl,4,dpkts,77.956244,30.059087,2.593434,0.350778
with_ttl,4,dttl,184.588551,121.600046,1.517997,0.542933
with_ttl,4,dur,2.034046,1.355982,1.500053,0.122803
with_ttl,4,dwin,255.000000,179.166781,1.423255,0.650590
with_ttl,4,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,4,rate,61.182268,38690.934353,0.001581,-0.331213
with_ttl,4,response_body_len,32064.172259,3442.631622,9.313855,0.415098
with_ttl,4,sbytes,2131.020841,13825.409319,0.154138,-0.052527
with_ttl,4,sinpkt,119.116907,433.203393,0.274968,-0.071004
with_ttl,4,sjit,9412.654689,5440.630147,1.730067,0.097698
with_ttl,4,sload,16850.241998,49681174.104178,0.000339,-0.234925
with_ttl,4,sloss,2.804825,7.900743,0.355008,-0.060640
with_ttl,4,smean,95.030872,171.053843,0.555561,-0.307170
with_ttl,4,spkts,29.669319,30.190459,0.982738,-0.003005
with_ttl,4,sttl,61.001557,143.052246,0.426429,-0.761310
with_ttl,4,swin,255.000000,180.556553,1.412300,0.642132
with_ttl,4,synack,0.043087,0.032020,1.345607,0.220004
with_ttl,4,tcprtt,0.087851,0.063064,1.393056,0.272731
with_ttl,4,trans_depth,0.961605,0.166642,5.770487,0.814235
with_ttl,5,ackdat,0.000005,0.031043,0.000158,-0.665473
with_ttl,5,ct_dst_ltm,3.378179,3.096686,1.090901,0.069826
with_ttl,5,ct_dst_sport_ltm,1.034501,1.441934,0.717440,-0.194386
with_ttl,5,ct_dst_src_ltm,2.534946,4.025292,0.629754,-0.242092
with_ttl,5,ct_flw_http_mthd,0.000000,0.181984,0.000000,-0.314421
with_ttl,5,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,5,ct_src_dport_ltm,1.283567,1.984017,0.646954,-0.209219
with_ttl,5,ct_src_ltm,3.895252,3.905532,0.997368,-0.002061
with_ttl,5,ct_srv_dst,4.321625,4.784982,0.903164,-0.074763
with_ttl,5,ct_srv_src,4.269251,5.094348,0.838037,-0.131516
with_ttl,5,ct_state_ttl,0.035124,0.875747,0.040107,-0.947206
with_ttl,5,dbytes,229.880847,23732.477242,0.009686,-0.131579
with_ttl,5,dinpkt,3.735642,106.294249,0.035144,-0.094152
with_ttl,5,djit,5.264618,822.818710,0.006398,-0.170087
with_ttl,5,dload,592973.098694,1089235.616224,0.544394,-0.164665
with_ttl,5,dloss,0.000267,11.006367,0.000024,-0.168206
with_ttl,5,dmean,86.383336,196.520809,0.439563,-0.361826
with_ttl,5,dpkts,2.691179,30.059087,0.089530,-0.200431
with_ttl,5,dttl,31.151787,121.600046,0.256182,-0.779624
with_ttl,5,dur,0.026448,1.355982,0.019504,-0.240790
with_ttl,5,dwin,0.068024,179.166781,0.000380,-1.536528
with_ttl,5,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,5,rate,2511.875825,38690.934353,0.064922,-0.310200
with_ttl,5,response_body_len,0.000000,3442.631622,0.000000,-0.049928
with_ttl,5,sbytes,281.136671,13825.409319,0.020335,-0.060837
with_ttl,5,sinpkt,5.453188,433.203393,0.012588,-0.096700
with_ttl,5,sjit,7.851076,5440.630147,0.001443,-0.133627
with_ttl,5,sload,644623.717326,49681174.104178,0.012975,-0.231955
with_ttl,5,sloss,0.000267,7.900743,0.000034,-0.094014
with_ttl,5,smean,94.846345,171.053843,0.554482,-0.307916
with_ttl,5,spkts,2.650365,30.190459,0.087788,-0.158808
with_ttl,5,sttl,36.895607,143.052246,0.257917,-0.984978
with_ttl,5,swin,0.113374,180.556553,0.000628,-1.556462
with_ttl,5,synack,0.000006,0.032020,0.000194,-0.636449
with_ttl,5,tcprtt,0.000011,0.063064,0.000176,-0.693752
with_ttl,5,trans_depth,0.000000,0.166642,0.000000,-0.170682
with_ttl,6,ackdat,0.000355,0.031043,0.011451,-0.657957
with_ttl,6,ct_dst_ltm,3.336935,3.096686,1.077582,0.059595
with_ttl,6,ct_dst_sport_ltm,1.509791,1.441934,1.047059,0.032374
with_ttl,6,ct_dst_src_ltm,5.139770,4.025292,1.276869,0.181036
with_ttl,6,ct_flw_http_mthd,0.000000,0.181984,0.000000,-0.314421
with_ttl,6,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,6,ct_src_dport_ltm,1.629305,1.984017,0.821215,-0.105950
with_ttl,6,ct_src_ltm,4.126941,3.905532,1.056691,0.044395
with_ttl,6,ct_srv_dst,4.736664,4.784982,0.989902,-0.007796
with_ttl,6,ct_srv_src,4.955436,5.094348,0.972732,-0.022142
with_ttl,6,ct_state_ttl,2.853477,0.875747,3.258335,2.228487
with_ttl,6,dbytes,1153.534099,23732.477242,0.048606,-0.126408
with_ttl,6,dinpkt,1645.460702,106.294249,15.480242,1.413010
with_ttl,6,djit,369.438108,822.818710,0.448991,-0.094323
with_ttl,6,dload,355.167955,1089235.616224,0.000326,-0.361302
with_ttl,6,dloss,0.013504,11.006367,0.001227,-0.168004
with_ttl,6,dmean,18.431465,196.520809,0.093789,-0.585063
with_ttl,6,dpkts,4.721810,30.059087,0.157084,-0.185559
with_ttl,6,dttl,4.560432,121.600046,0.037504,-1.008829
with_ttl,6,dur,26.042923,1.355982,19.205945,4.471022
with_ttl,6,dwin,1.721810,179.166781,0.009610,-1.522339
with_ttl,6,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,6,rate,3.661190,38690.934353,0.000095,-0.331706
with_ttl,6,response_body_len,0.000000,3442.631622,0.000000,-0.049928
with_ttl,6,sbytes,9748.996624,13825.409319,0.705151,-0.018310
with_ttl,6,sinpkt,3660.750234,433.203393,8.450419,0.729638
with_ttl,6,sjit,4906.346483,5440.630147,0.901797,-0.013142
with_ttl,6,sload,4255.426624,49681174.104178,0.000086,-0.234984
with_ttl,6,sloss,0.711681,7.900743,0.090078,-0.085548
with_ttl,6,smean,167.604321,171.053843,0.979834,-0.013938
with_ttl,6,spkts,35.457799,30.190459,1.174470,0.030374
with_ttl,6,sttl,224.311276,143.052246,1.568037,0.753965
with_ttl,6,swin,35.469278,180.556553,0.196444,-1.251490
with_ttl,6,synack,0.000320,0.032020,0.010003,-0.630205
with_ttl,6,tcprtt,0.000676,0.063064,0.010716,-0.686439
with_ttl,6,trans_depth,0.000000,0.166642,0.000000,-0.170682
with_ttl,7,ackdat,0.000044,0.031043,0.001410,-0.664640
with_ttl,7,ct_dst_ltm,16.576923,3.096686,5.353116,3.343857
with_ttl,7,ct_dst_sport_ltm,9.918132,1.441934,6.878352,4.043993
with_ttl,7,ct_dst_src_ltm,30.187363,4.025292,7.499421,4.249774
with_ttl,7,ct_flw_http_mthd,0.000275,0.181984,0.001510,-0.313947
with_ttl,7,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,7,ct_src_dport_ltm,16.044505,1.984017,8.086879,4.199766
with_ttl,7,ct_src_ltm,16.732143,3.905532,4.284216,2.571849
with_ttl,7,ct_srv_dst,30.057143,4.784982,6.281558,4.077707
with_ttl,7,ct_srv_src,30.208516,5.094348,5.929811,4.003058
with_ttl,7,ct_state_ttl,2.057692,0.875747,2.349642,1.331804
with_ttl,7,dbytes,1.247802,23732.477242,0.000053,-0.132859
with_ttl,7,dinpkt,0.055730,106.294249,0.000524,-0.097531
with_ttl,7,djit,1.350398,822.818710,0.001641,-0.170901
with_ttl,7,dload,21.288494,1089235.616224,0.000020,-0.361413
with_ttl,7,dloss,0.001374,11.006367,0.000125,-0.168189
with_ttl,7,dmean,0.150275,196.520809,0.000765,-0.645121
with_ttl,7,dpkts,0.007143,30.059087,0.000238,-0.220088
with_ttl,7,dttl,0.276923,121.600046,0.002277,-1.045751
with_ttl,7,dur,0.213882,1.355982,0.157732,-0.206844
with_ttl,7,dwin,0.210165,179.166781,0.001173,-1.535308
with_ttl,7,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,7,rate,206994.169300,38690.934353,5.349940,1.443037
with_ttl,7,response_body_len,0.000000,3442.631622,0.000000,-0.049928
with_ttl,7,sbytes,359.475275,13825.409319,0.026001,-0.060485
with_ttl,7,sinpkt,58.123163,433.203393,0.134171,-0.084793
with_ttl,7,sjit,91.946228,5440.630147,0.016900,-0.131559
with_ttl,7,sload,244112166.245216,49681174.104178,4.913575,0.919707
with_ttl,7,sloss,0.070879,7.900743,0.008971,-0.093173
with_ttl,7,smean,175.713736,171.053843,1.027242,0.018828
with_ttl,7,spkts,2.069231,30.190459,0.068539,-0.162160
with_ttl,7,sttl,253.159341,143.052246,1.769698,1.021632
with_ttl,7,swin,4.133242,180.556553,0.022892,-1.521788
with_ttl,7,synack,0.000034,0.032020,0.001049,-0.635904
with_ttl,7,tcprtt,0.000077,0.063064,0.001227,-0.693023
with_ttl,7,trans_depth,0.000275,0.166642,0.001649,-0.170400
with_ttl,8,ackdat,0.000000,0.031043,0.000000,-0.665578
with_ttl,8,ct_dst_ltm,1.590826,3.096686,0.513719,-0.373538
with_ttl,8,ct_dst_sport_ltm,1.590826,1.441934,1.103258,0.071036
with_ttl,8,ct_dst_src_ltm,1.853211,4.025292,0.460392,-0.352833
with_ttl,8,ct_flw_http_mthd,0.000000,0.181984,0.000000,-0.314421
with_ttl,8,ct_ftp_cmd,0.000000,0.017310,0.000000,-0.130326
with_ttl,8,ct_src_dport_ltm,1.574312,1.984017,0.793497,-0.122376
with_ttl,8,ct_src_ltm,1.574312,3.905532,0.403098,-0.467430
with_ttl,8,ct_srv_dst,1.981651,4.784982,0.414140,-0.452322
with_ttl,8,ct_srv_src,1.853211,5.094348,0.363778,-0.516619
with_ttl,8,ct_state_ttl,2.014679,0.875747,2.300526,1.283337
with_ttl,8,dbytes,0.000000,23732.477242,0.000000,-0.132866
with_ttl,8,dinpkt,0.000000,106.294249,0.000000,-0.097582
with_ttl,8,djit,0.000000,822.818710,0.000000,-0.171182
with_ttl,8,dload,0.000000,1089235.616224,0.000000,-0.361420
with_ttl,8,dloss,0.000000,11.006367,0.000000,-0.168210
with_ttl,8,dmean,0.000000,196.520809,0.000000,-0.645615
with_ttl,8,dpkts,0.000000,30.059087,0.000000,-0.220140
with_ttl,8,dttl,0.000000,121.600046,0.000000,-1.048138
with_ttl,8,dur,8.695945,1.355982,6.413022,1.329332
with_ttl,8,dwin,0.000000,179.166781,0.000000,-1.537111
with_ttl,8,is_sm_ips_ports,1.000000,0.005058,197.688073,14.024553
with_ttl,8,rate,159.857820,38690.934353,0.004132,-0.330367
with_ttl,8,response_body_len,0.000000,3442.631622,0.000000,-0.049928
with_ttl,8,sbytes,53.827523,13825.409319,0.003893,-0.061858
with_ttl,8,sinpkt,59119.785640,433.203393,136.471197,13.267023
with_ttl,8,sjit,6.741024,5440.630147,0.001239,-0.133655
with_ttl,8,sload,54991.148650,49681174.104178,0.001107,-0.234744
with_ttl,8,sloss,0.003670,7.900743,0.000464,-0.093973
with_ttl,8,smean,45.988991,171.053843,0.268857,-0.505323
with_ttl,8,spkts,1.170642,30.190459,0.038775,-0.167341
with_ttl,8,sttl,0.932110,143.052246,0.006516,-1.318666
with_ttl,8,swin,0.935780,180.556553,0.005183,-1.549368
with_ttl,8,synack,0.000000,0.032020,0.000000,-0.636572
with_ttl,8,tcprtt,0.000000,0.063064,0.000000,-0.693874
with_ttl,8,trans_depth,0.000000,0.166642,0.000000,-0.170682
with_ttl,9,ackdat,0.035589,0.031043,1.146429,0.097460
with_ttl,9,ct_dst_ltm,3.166938,3.096686,1.022686,0.017426
with_ttl,9,ct_dst_sport_ltm,1.002710,1.441934,0.695392,-0.209554
with_ttl,9,ct_dst_src_ltm,3.201626,4.025292,0.795377,-0.133797
with_ttl,9,ct_flw_http_mthd,0.000000,0.181984,0.000000,-0.314421
with_ttl,9,ct_ftp_cmd,1.010298,0.017310,58.364353,7.476077
with_ttl,9,ct_src_dport_ltm,1.022222,1.984017,0.515229,-0.287281
with_ttl,9,ct_src_ltm,3.979946,3.905532,1.019053,0.014921
with_ttl,9,ct_srv_dst,1.194038,4.784982,0.249539,-0.579405
with_ttl,9,ct_srv_src,1.234146,5.094348,0.242258,-0.615294
with_ttl,9,ct_state_ttl,0.543089,0.875747,0.620144,-0.374835
with_ttl,9,dbytes,2536.498645,23732.477242,0.106879,-0.118665
with_ttl,9,dinpkt,86.675946,106.294249,0.815434,-0.018010
with_ttl,9,djit,2455.128817,822.818710,2.983803,0.339592
with_ttl,9,dload,144460.279494,1089235.616224,0.132625,-0.313487
with_ttl,9,dloss,11.108401,11.006367,1.009270,0.001559
with_ttl,9,dmean,71.138753,196.520809,0.361991,-0.411908
with_ttl,9,dpkts,35.665041,30.059087,1.186498,0.041056
with_ttl,9,dttl,149.383740,121.600046,1.228484,0.239483
with_ttl,9,dur,2.108646,1.355982,1.555069,0.136314
with_ttl,9,dwin,255.000000,179.166781,1.423255,0.650590
with_ttl,9,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
with_ttl,9,rate,516.827336,38690.934353,0.013358,-0.327306
with_ttl,9,response_body_len,0.000000,3442.631622,0.000000,-0.049928
with_ttl,9,sbytes,2612.086721,13825.409319,0.188934,-0.050367
with_ttl,9,sinpkt,83.131746,433.203393,0.191900,-0.079139
with_ttl,9,sjit,5756.180480,5440.630147,1.057999,0.007761
with_ttl,9,sload,117028.908546,49681174.104178,0.002356,-0.234451
with_ttl,9,sloss,8.695393,7.900743,1.100579,0.009456
with_ttl,9,smean,65.748509,171.053843,0.384373,-0.425485
with_ttl,9,spkts,35.717073,30.190459,1.183058,0.031869
with_ttl,9,sttl,75.416260,143.052246,0.527194,-0.627563
with_ttl,9,swin,255.000000,180.556553,1.412300,0.642132
with_ttl,9,synack,0.034916,0.032020,1.090438,0.057570
with_ttl,9,tcprtt,0.070505,0.063064,1.117999,0.081877
with_ttl,9,trans_depth,0.000000,0.166642,0.000000,-0.170682
without_ttl,0,ackdat,0.071240,0.031043,2.294868,0.861836
without_ttl,0,ct_dst_ltm,1.778348,3.096686,0.574274,-0.327022
without_ttl,0,ct_dst_sport_ltm,1.035561,1.441934,0.718175,-0.193880
without_ttl,0,ct_dst_src_ltm,2.824134,4.025292,0.701597,-0.195116
without_ttl,0,ct_flw_http_mthd,0.155870,0.181984,0.856501,-0.045119
without_ttl,0,ct_ftp_cmd,0.000030,0.017310,0.001753,-0.130098
without_ttl,0,ct_src_dport_ltm,1.328367,1.984017,0.669534,-0.195838
without_ttl,0,ct_src_ltm,2.593379,3.905532,0.664027,-0.263098
without_ttl,0,ct_srv_dst,2.889310,4.784982,0.603829,-0.305870
without_ttl,0,ct_srv_src,3.451194,5.094348,0.677456,-0.261909
without_ttl,0,dbytes,969.535061,23732.477242,0.040853,-0.127438
without_ttl,0,dinpkt,279.693114,106.294249,2.631310,0.159186
without_ttl,0,djit,731.044599,822.818710,0.888464,-0.019093
without_ttl,0,dload,7921.971220,1089235.616224,0.007273,-0.358791
without_ttl,0,dloss,2.029614,11.006367,0.184404,-0.137192
without_ttl,0,dmean,77.726644,196.520809,0.395514,-0.390265
without_ttl,0,dpkts,8.827897,30.059087,0.293685,-0.155488
without_ttl,0,dttl,246.762145,121.600046,2.029293,1.078841
without_ttl,0,dur,1.421381,1.355982,1.048230,0.011844
without_ttl,0,dwin,253.711321,179.166781,1.416062,0.639534
without_ttl,0,is_sm_ips_ports,0.000000,0.005058,0.000000,-0.071304
without_ttl,0,rate,27.816841,38690.934353,0.000719,-0.331499
without_ttl,0,response_body_len,0.465849,3442.631622,0.000135,-0.049922
without_ttl,0,sbytes,1295.579998,13825.409319,0.093710,-0.056280
without_ttl,0,sinpkt,232.016905,433.203393,0.535584,-0.045481
without_ttl,0,sjit,12532.834616,5440.630147,2.303563,0.174444
without_ttl,0,sload,14473.655377,49681174.104178,0.000291,-0.234936
without_ttl,0,sloss,2.711108,7.900743,0.343146,-0.061755
without_ttl,0,smean,107.411749,171.053843,0.627941,-0.257145
without_ttl,0,spkts,11.417453,30.190459,0.378181,-0.108254
without_ttl,0,swin,254.077647,180.556553,1.407192,0.634176
without_ttl,0,synack,0.074704,0.032020,2.333019,0.848562
without_ttl,0,tcprtt,0.145945,0.063064,2.314239,0.911916
without_ttl,0,trans_depth,0.156143,0.166642,0.936996,-0.010754
without_ttl,1,ackdat,0.000000,0.031043,0.000000,-0.665578
